id,full_name,position,per,ts_pct,per_percentile,composite_score,progression_pct
1628983,Shai Gilgeous-Alexander,F,38.29828439953983,0.6530529182904373,94.60572369775582,96.10870907967882,92.17785096747633
203954,Joel Embiid,C-F,37.22987934186472,0.6374492387410124,94.58513485690756,95.98002882437717,91.92054343351171
203999,Nikola Jokić,C,38.87368560299845,0.663834443835681,94.68807906114885,95.73296273419805,91.42651296829969
203507,Giannis Antetokounmpo,F,34.123275140114664,0.6260504431570668,94.54395717521103,95.51677990529133,90.99423631123919
1629029,Luka Dončić,G,35.11597180261835,0.61366342180825,94.5645460160593,95.42927733168624,90.81926718814329
201939,Stephen Curry,G,27.703809594584555,0.6235410311117061,94.13218035824583,94.9917644636607,89.94442157266366
201142,Kevin Durant,F,26.957966892049424,0.6266242826085145,93.94688079061149,94.88367304920733,89.7282832441334
201935,James Harden,G,28.795651496921238,0.6030067534639454,94.2968910850319,94.7704344245419,89.50185261424454
202695,Kawhi Leonard,F,29.007066507818816,0.6192877698123183,94.37924644842496,94.60572369775582,89.17249897076987
1630162,Anthony Edwards,G,27.386392117355086,0.6052940442002748,94.02923615400452,94.5336627547869,89.02840675174969
